page_url,image_url,movie_title,description,year,rating_kp,ratintg_imdb,genres,actors,country
/film/karting-2020/,/static/images/film/7/61977.jpg,Картинг,"История о юном парне, который должен преодолеть огромные трудности и собственное безрассудство, чтобы осуществить свою мечту о победе в национальном чемпионате по картингу.",2020,6.0,5.9,семейный | спорт,Уильям Лоддер | Фрэнсис О’Коннор | Анастасия Бампос | Darius Amarfio Jefferson | Cooper van Grootel | Джек Коннелл | Риз Ландер,Австралия
/film/malysh-na-drajve-2017/,/static/images/film/7/57079.jpg,Малыш на драйве,"Молодой парень по прозвищу Малыш обожает стильную музыку, быструю езду и адреналин в крови. Вся его жизнь — это сплошные погони и перестрелки, ведь он работает водителем, который помогает бандитам скрыться с места преступления. Однажды он по-настоящему влюбляется и решает выйти из игры, но сначала ему предстоит выполнить еще одно задание, которое вполне может оказаться последним в его жизни.",2017,7.2,7.6,боевик | триллер | драма | криминал | музыка,Лили Джеймс | Кевин Спейси | Джон Хэмм | Джейми Фокс | Эйса Гонсалес | Джон Бернтал | Энсел Элгорт,Великобритания | США
/film/mishel-valjan-zhazhda-skorosti-2003/,/static/images/film/1/1221.jpg,Мишель Вальян: Жажда скорости,"Главный герой фильма — бесстрашный и виртуозный автогонщик Мишель Вальян — многократный победитель крупнейших авторалли мира. Победам и успехам его команды восторженно рукоплещет публика, ему завидуют побежденные соперники. На сложнейшей трассе этой супер-гонки их ждет бескомпромиссная и жестокая борьба не за первое место, а борьба за жизнь, когда коварство соперников не знает границ.",2003,6.7,5.3,спорт | триллер,Сагамор Стевенен | Питер Янгблад Хиллз | Жан-Пьер Кассель | Дайан Крюгер | Беатрис Аженен Élisabeth Vaillant | Лиза Барбуша | Филипп Бас,Франция
/film/need-for-speed-zhazhda-skorosti-2014/,/static/images/film/1/850.jpg,Need for Speed: Жажда скорости,"История Тоби Маршалла, гениального автомеханика, чьей единственной отдушиной является участие в подпольных гонках. Чтобы сохранить семейную мастерскую, Тоби вынужден взять в партнеры богатого и заносчивого бывшего гонщика IndyCar Дино Брюстера. Когда дела Тоби наконец-то начинают идти в гору, Дино подставляет партнера, и Тоби обвиняют в преступлении, которого он не совершал. Спустя два года Тоби выходит из тюрьмы с мыслью о мести. Чтобы достичь своей цели, ему придется совершить невозможное и доказать, что даже в мире броских суперкаров самый невзрачный гонщик может финишировать первым.",2014,6.8,6.4,боевик | триллер | криминал | приключения | семейный,Аарон Пол | Доминик Купер | Имоджен Путс | Дакота Джонсон | Майкл Китон | Рамон Родригес | Ник Чинланд,США | Индия
/film/overdrajv-2017/,/static/images/film/7/58795.jpg,Овердрайв,"Эндрю и Гаретт Фостеры — братья-авантюристы, промышляющие угоном самых редких и роскошных автомобилей. До сих пор им легко удавалось избегать неприятностей, но во время очередного дела они попадают под прицел жестокого криминального босса. Теперь в обмен на свои жизни они должны украсть для него самый ценный автомобиль его злейшего врага.",2017,5.8,5.3,боевик | триллер | криминал | приключения,Скотт Иствуд | Фредди Торп | Ана де Армас | Гайя Уайсс | Симон Абкарян | Клеменс Шик | Абрахам Белага,Франция | Бельгия | США | Великобритания
/film/perevozchik-2002/,/static/images/film/1/818.jpg,Перевозчик,"Раньше Фрэнк Мартин работал в спецназе. Но десант больше не для него. Теперь у мужчины свое маленькое, но надежное дело. Он – перевозчик. Клиентов хватает, платят щедро. А все потому, что Фрэнк всегда верен своему личному кодексу поведения.

Водитель никогда не интересуется, что он повезет в этот раз. Критерий один: груз должен поместиться в его багажник. Фрэнк не узнает имен отправителей и получателей, полная анонимность. А еще бывший вояка никогда не меняет условий сделки. Эти три правила подарили ему отменную репутацию и тонну заказов.

Ничего не предвещало беды, но однажды Фрэнк открыл багажник во время транспортировки. Он не собирался смотреть на посылку и ни за что не открыл бы ее… Если бы она хотя бы не шевелилась! Кажется, в эту поездку Фрэнку придется пересмотреть свои правила..",2002,7.4,6.8,боевик | триллер | криминал,Джейсон Стэйтем | Шу Ци | Мэтт Шульце | Франсуа Берлеан | Рик Янг | Даг Рэнд | Дидье Сен Мелен,Франция | США | Германия
/film/prirozhdennyjj-gonshhik-video-2011/,/static/images/film/3/5129.jpg,Прирожденный гонщик,"Рев мотора, визг тормозов, запредельная скорость — вот то, что по-настоящему интересно 17-летнему Дэнни Крюгеру. Но после аварии с полицейской машиной во время ночной уличной гонки парня отправляют пожить к отцу. 

Сам бывший автогонщик, участник НАСКАР, он разделяет страсть сына и помогает ему подготовиться к соревнованиям по дрэг-рейсингу. Старт дан, волнение болельщиков зашкаливает, и нужно доказать противнику и себе что ты — прирожденный гонщик…",2011,6.3,5.9,боевик | спорт,Джозеф Кросс | Джон Пайпер-Фергюсон | Брандо Итон | Николь Бадаан | Шерри Стрингфилд | Спенсер Бреслин | Кристина Мур,США
/film/riki-bobbi-korol-dorogi-2006/,/static/images/film/4/9095.jpg,Рики Бобби: Король дороги,"Рикки Бобби — автогонщик мирового класса, участвующий в соревнованиях серии NASCAR. Рикки придерживается принципа «победа любой ценой», что делает его национальным героем. Он и его верный друг Кэл Нотон-мл. всегда занимают соответственно первые и вторые места; восхищаясь бесстрашными гонщиками, их преданные поклонники дали им прозвище Гром и Молния. Когда же бессменным лидерам бросил вызов французский пилот «Формулы 1» Жан Жирар, Рикки пришлось доказывать свое превосходство, ведя борьбу не только с опаснейшим соперником, но и с самим собой…",2006,6.1,6.6,комедия | спорт | боевик,Уилл Феррелл | Джон Си Райли | Саша Барон Коэн | Гэри Коул | Майкл Кларк Дункан | Лесли Бибб | Джейн Линч,США
/film/samyjj-bystryjj-indian-2005/,/static/images/film/1/116.jpg,Самый быстрый Indian,"Фильм рассказывает об истории жизни знаменитого новозеландца Берта Монро, который потратил десятилетия жизни на переоснащение своего любимого мотоцикла марки «Индиан» 1920 года выпуска с максимальной скоростью в 58 миль/ч в гоночный болид для установления рекорда скорости. И официальный рекорд (200 миль/ч) в конце концов был установлен! Это случилось в 1967 году…",2005,8.0,7.8,драма | биография | спорт,Энтони Хопкинс | Иэн Ри | Тесса Митчелл | Аарон Мерфи | Тим Шэдболт | Энни Уиттл | Грег Джонсон,Новая Зеландия | Япония | США
/film/skandinavskij-forsazh-2014/,/static/images/film/6/37419.jpg,Скандинавский форсаж,"У Роя одна, но пламенная страсть — гонки. И как раз, когда он готовится к важному соревнованию, на горизонте появляется 14-летняя дочь, требующая к себе повышенного внимания. Увлекшись выяснением отношений с ребенком, Рой проигрывает заезд, и теперь у него только один шанс восстановить свою репутацию — участие в гонке «Северный Мыс». Кто первым доберется из Осло до самой северной точки Норвегии, тот и будет признан величайшим гонщиком всех времен и народов…",2014,5.8,6.1,боевик | комедия,Ларс Аренц-Хансен | Андерс Баасмо Кристиансен | Камилла Фрэй | Марсело Галван | Тронд Хальбо | Ida Husøy | Отто Есперсен,Норвегия
/film/smertelnaja-gonka-2008/,/static/images/film/1/1218.jpg,Смертельная гонка,"Трехкратный чемпион-гонщик Дженсен Эймс посажен в тюрьму за убийство, которого не совершал. Вместо того, чтобы выпустить его на свободу, тюремщики заставляют его вместе с самыми отъявленными преступниками участвовать в кровавом состязании. Оказавшись за рулем чудовищного автомобиля, оборудованного автоматами, огнеметами и гранатометами, этот отчаянный человек разрушит все на своем пути, чтобы выиграть самую зрелищную гонку на выживание на Земле.",2008,7.1,6.4,фантастика | боевик | триллер | криминал,Джейсон Стэйтем | Джоан Аллен | Иэн МакШейн | Тайриз Гибсон | Натали Мартинес | Макс Райан | Джейсон Кларк,ЮАР | Германия | США | Великобритания
/film/spidi-gonshhik-2008/,/static/images/film/1/2762.jpg,Спиди Гонщик,"Юный автогонщик Спиди стремится обрести славу, как на самом треке, так и за его пределами, на своем подобном молнии автомобиле «Мак-5».",2008,5.6,6.0,семейный | спорт | боевик,Эмиль Хирш | Кристина Риччи | Джон Гудман | Сьюзен Сарандон | Пол Литовски | Скотт Портер | Мэттью Фокс,США | Австралия | Германия | Япония
/film/srochnaja-dostavka-2012/,/static/images/film/1/1443.jpg,Срочная доставка,"Нью-йоркский посыльный в один прекрасный день забирает некий конверт в Колумбийском университете. Но оказывается, что содержимое послания очень интересует одного коррумпированного полицейского, который начинает преследование героя.",2012,6.6,6.5,триллер | криминал,Джозеф Гордон-Левитт | Майкл Шеннон | Даня Рамирес | Джейми Чанг | Уоли Паркс | Аасиф Мандви | Генри О,США
/film/sumasshedshie-gonki-2005/,/static/images/film/3/7011.jpg,Сумасшедшие гонки,"Херби — классический Фольксваген «Жук». Он немного странный, в его механическом теле живет нежная и ранимая душа романтика и мечта стать победителем самых престижных кольцевых гонок мира. Наконец его мечта приближается к реальности — знаменитая машина попадает на гонки NASCAR.Новая владелица Херби, обладающая вздорным нравом и желанием побеждать, мечтает о том же — теперь они готовы покорить эту головокружительную высоту вместе!",2005,6.3,4.8,комедия | семейный | спорт | фэнтези | мелодрама | приключения,Линдси Лохан | Майкл Китон | Мэтт Диллон | Брекин Мейер | Джастин Лонг | Шерил Хайнс | Джимми Симпсон,США
/film/ugnat-i-prodat-2020/,/static/images/film/7/66238.jpg,Угнать и продать,Молодой угонщик дорогих автомобилей после неудачного дела вынужден согласиться на сотрудничество с полицией. Он должен внедриться в банду и помочь стражам порядка раскрыть крупное предприятие по контрабанде сотен экзотических суперкаров.,2020,6.0,5.3,боевик | драма | триллер,Франческо Филиче | Вивика А. Фокс | Ханна Гордон | Сэм Асанте | Emily DeCordova | Себастьян Дири | Франциска Дэннис,Канада
/film/ugnat-za-60-sekund-2000/,/static/images/film/1/847.jpg,Угнать за 60 секунд,"Рейнс Рэндалл не планировал возвращаться в Лонг-Бич. Но его брат Кип в беде, и у Рейнса нет выбора. Теперь он вместо брата должен угнать 50 машин, иначе местные мафиози обещают пристрелить Кипа. В прошлом Рейнс прославился как угонщик-виртуоз. Однако, он давно вышел из этого бизнеса.

Рэндалл обращается за подмогой к старым товарищам. Бывшие «коллеги», бывшая девушка, бывший учитель – вот новая команда Рейнса.

Полиция не дремлет: они уже знают, что угонщик вернулся. Их задача – поймать Рэндалла. У автомобильных воров есть заказ на 50 машин и одна ночь для осуществления задуманного. Вряд ли им удастся поспать.",2000,7.6,6.5,боевик | триллер | криминал,Николас Кейдж | Анджелина Джоли | Джованни Рибизи | Роберт Дювалл | Уилл Пэттон | Делрой Линдо | Тимоти Олифант,США
/film/veloce-come-il-vento-2016/,/static/images/film/7/55962.jpg,Veloce come il vento,"У семьи Мартино всегда были моторное масло и бензин в крови. Они строили машины и участвовали в гонках на протяжении нескольких поколений. Кольцевые гонки, ралли, гонки на выносливость — их привлекало абсолютно всё. В силу обстоятельств глава семьи Марио должен уступить дорогу своей молодой и исключительно талантливой дочери Джулии. К ней присоединяется 40-летний брат Лорис, бывший гонщик, а ныне заядлый наркоман, но с исключительным чувством гоночной траектории и очень хорошо разбирающийся в моторах. Вместе они должны вернуться на трек и победить, узнав по пути, что значит быть семьёй и насколько это может оказаться тяжело...",2016,7.0,7.2,драма | спорт,Стефано Аккорси | Matilda De Angelis | Лоренцо Джоиелли | Паоло Грациози | Ринат Хисматулин | Татьяна Лутер | Роберта Маттеи,Италия
/film/vodila-2017/,/static/images/film/7/57387.jpg,Водила,"Водитель, работающий на преступные группировки, после не очень гладко прошедшего ограбления вынужден спасаться от преследователей в машине с украденными деньгами.",2017,6.1,6.4,боевик | триллер | криминал,Фрэнк Грилло | Кэйтлин Кармайкл | Гаррет Диллахант | Венди Мониз | Ши Уигхэм | Джон Ченатьемпо | Слэйн,США
